entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-03-06,173.8946275028021,172.54229358542045,181,-244.77243904607985,stop
2015-11-17,2015-12-03,173.55161117430652,172.60494118428144,182,-172.29393818456305,stop
2016-04-05,2016-05-06,174.3603901453753,174.14131134185297,223,-48.854573185481,stop
2019-02-26,2019-03-08,251.0310134439589,246.44830309154625,155,-710.3201046239603,stop
2020-06-08,2020-06-11,295.1634168068766,284.22025467116,66,-722.2487009572988,stop
2023-02-09,2023-02-24,398.35800306222177,380.1035302143566,53,-967.4870609368527,regime
2023-03-29,2023-08-04,385.9060563665928,432.4572896174723,45,2094.805496289579,stop
2025-05-15,2025-08-01,580.5045239452851,621.4584879407936,39,1597.2045958248316,stop
