entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-03-06,173.89459706806414,172.5422477608332,181,-244.77522460880232,stop
2015-11-17,2015-12-03,173.5515346872762,172.60492107703482,182,-172.2836770639296,stop
2016-04-05,2016-05-06,174.36032896674186,174.14128312082522,223,-48.84722363941057,stop
2019-02-26,2019-03-08,251.03104394077798,246.4483696182219,155,-710.3145199961914,stop
2020-06-08,2020-06-11,295.16335633448466,284.2201810137411,66,-722.2495711690733,stop
2023-02-09,2023-02-24,398.35800306222177,380.103591101692,53,-967.4838339080768,regime
2023-03-29,2023-08-04,385.9060259569887,432.4572373171344,45,2094.804511206557,stop
2025-05-15,2025-08-01,580.5045239452851,621.4585271441837,39,1597.206124757045,stop
