entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-07-07,2015-07-08,172.99456494205364,172.54315319146906,492,-222.09458128761491,trend
2015-07-24,2015-07-27,173.2703487371135,172.97777668363258,435,-127.26884326419594,trend
2015-08-19,2015-08-20,173.68831753287859,172.6183941900729,477,-510.35343451830937,trend
2015-10-29,2015-10-30,173.92753378604118,175.65841751290222,446,771.9741421800227,trend
2015-11-10,2015-11-11,175.03665588413068,175.50714703296265,483,227.24722488584058,trend
2015-11-20,2015-11-23,175.98607034062815,175.92723236312372,443,-26.065224034460073,trend
2015-11-27,2015-11-30,176.02805092668055,176.23811424503617,469,98.51969630878702,trend
2015-12-02,2015-12-03,175.9776852937027,175.46515344475668,480,-246.01528749409226,trend
2015-12-07,2015-12-08,172.7595905214948,173.49899964415422,383,283.19369397855945,trend
2015-12-30,2015-12-31,173.15387128188235,173.38209130151475,316,72.11752620383925,trend
2016-04-28,2016-04-29,170.1109698116354,175.62717685365052,357,1969.2859139993946,trend
2016-05-03,2016-05-04,175.79704592408345,174.15733395229546,553,-906.7607203987578,trend
2016-05-12,2016-05-13,175.6271073989464,175.19384438205137,577,-249.9927607484382,trend
2016-05-19,2016-05-20,174.131869695222,174.09791150928334,580,-19.695747844430116,trend
2016-06-23,2016-06-24,175.15984187421589,173.90158969879573,495,-622.8348268329761,trend
2018-02-02,2018-02-05,172.06548362968255,240.68138181637397,329,22574.63050342148,vix_spike
2018-02-07,2018-02-08,236.32451994416607,235.89329903889058,253,-109.09888903470028,vix_spike
2018-07-20,2018-07-23,232.2140779480672,248.05634734707684,208,3295.1920349940046,trend
2018-07-26,2018-07-27,250.13347782261658,251.83775830816563,504,858.9573647167206,trend
2018-10-10,2018-10-11,249.2635247226231,247.06597859221083,509,-1118.550980379842,trend
2018-10-22,2018-10-23,246.78958079875062,241.5999944163272,327,-1696.9947470524564,trend
2018-11-09,2018-11-12,243.71321400245424,247.1640550275417,208,717.7749332181938,trend
2018-11-28,2018-11-29,240.39619560185264,244.061002768336,267,978.50351345106,trend
2018-12-03,2018-12-04,244.15021024599378,248.21616800837253,272,1105.9405113670223,trend
2019-05-30,2019-05-31,259.5305518187939,248.81059086378568,466,-4995.501805033843,trend
2020-02-26,2020-02-27,249.6393920119291,279.1500591654127,286,8440.050805896313,trend+vix
2020-06-10,2020-06-11,285.1855105697075,286.3068409433964,230,257.90598594845164,trend+vix
2020-07-27,2020-07-28,296.95678183991373,297.695243153104,322,237.7845428472673,trend
2020-07-29,2020-07-30,297.4091253277657,297.2059723944225,328,-66.63416213658047,trend
2020-09-02,2020-09-03,300.8990939222795,328.57007064811114,320,8854.712552266119,vix_spike
2020-09-22,2020-09-23,310.0581908632135,306.7384904056228,215,-713.7355983819941,vix_spike
2020-10-05,2020-10-06,299.02596442851154,315.0905952451243,193,3100.4737476062605,vix_spike
2020-10-16,2020-10-19,317.81595262377294,323.19250376305786,232,1247.3598643141,vix_spike
2020-10-23,2020-10-26,320.6710546588657,317.14853512100905,276,-972.2153924484439,vix_spike
2021-01-26,2021-01-27,323.7393992214774,353.95962605082,197,5953.3846853804935,vix_spike
2021-02-24,2021-02-25,353.4290462295083,363.4459121163381,244,2444.1152763864725,vix_spike
2021-03-03,2021-03-04,357.804410993549,354.8906420427798,264,-769.2350030030752,vix_spike
2021-11-24,2021-11-26,354.1831430171617,434.61831023205275,246,19787.051134863203,vix_spike
2021-11-30,2021-12-01,436.24463852719293,433.9603158081163,352,-804.0815971149677,vix_spike
2021-12-02,2021-12-03,423.7045239141556,431.638417799551,274,2173.886924598349,vix_spike
2022-01-20,2022-01-21,428.78067779267633,420.3159330270776,260,-2200.833639055664,trend+vix
2022-02-10,2022-02-11,408.1656232816554,423.947845988049,243,3835.080117653634,trend
2022-02-16,2022-02-17,418.5896294380124,418.10854352626,185,-89.00089367419696,trend+vix
2022-04-08,2022-04-11,414.4678490660908,420.2496507622423,162,936.6518747765414,trend
2022-11-30,2022-12-01,377.4022961086095,390.075071036669,161,2040.3167634175766,trend
2022-12-13,2022-12-14,391.45868674150205,383.2425243978925,244,-2004.7436118407277,trend
2023-01-17,2023-01-18,376.01025589251583,382.5098268846119,239,1553.397467110967,trend
2023-01-27,2023-01-30,373.96829741871426,386.1431078861568,257,3128.92629013274,trend
2023-02-03,2023-02-06,388.4534215519607,392.8439993991538,277,1216.1900636724965,trend
2023-02-08,2023-02-09,391.96206429093394,397.27301170174235,285,1513.620012080397,trend
2023-03-08,2023-03-09,376.4416315212209,383.2096475110798,322,2179.3011487345643,trend
2023-10-24,2023-10-25,370.82395451887174,408.93271643497314,276,10518.018288843987,trend
2024-08-02,2024-08-05,406.32528999111435,501.0955002341847,335,31748.020431428577,vix_spike
2025-03-07,2025-03-10,508.51921810050686,559.4742288830657,225,11464.877426075745,trend
2025-03-25,2025-03-26,564.3307537296456,568.6710483477373,197,855.0380397640573,trend
2025-05-21,2025-05-22,584.5489982766968,576.0562657117097,207,-1757.9956409523372,trend
2025-05-27,2025-05-28,579.4276923460704,584.8554566278126,238,1291.8078990546333,trend
2025-06-03,2025-06-04,585.6266079138771,590.1943197189499,245,1119.089392242837,trend
2025-06-10,2025-06-11,593.4173023897237,597.3423765043648,332,1303.1246060608519,trend
2025-06-12,2025-06-13,593.2096852350186,591.7168864341237,334,-498.5947994988928,trend
2026-03-05,2026-03-06,590.0351069773628,671.5758690877306,333,27153.07378275245,vix_spike
2026-03-19,2026-03-20,664.5750801817165,656.510009765625,343,-2766.3191527193994,trend
