Date,Open,High,Low,Close,Volume,ema_fast,ema_slow,atr,regime,signal,equity_buyhold,equity_trade
2015-01-02,171.37849221415277,171.79369351311453,169.5515963619706,170.589599609375,121465900,170.589599609375,170.589599609375,2.2420971511439234,False,0,100000.0,100000.0
2015-01-05,169.54334982225583,169.70942785949592,167.20162035400406,167.5088653564453,169632600,170.468786501417,170.55894553720654,2.81503820325743,False,0,98194.06677781993,100000.0
2015-01-06,167.81603478720876,168.33919240631923,165.13383831436138,165.9310302734375,209151400,170.29083527679035,170.51289662910935,2.9451434994909014,False,0,97269.13636786479,100000.0
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,170.2009501301745,170.48788038442257,2.8109081006731316,False,0,98481.24646682937,100000.0
2015-01-08,169.41048899619827,171.19586281193537,169.39389006147994,170.97994995117188,147217800,170.23149914276263,170.4927765990171,2.8881462353083918,False,0,100228.8242323628,100000.0
2015-01-09,171.39508642011177,171.41169801947515,168.99522348508043,169.60972595214844,158567300,170.2071158803856,170.48399002541643,2.8095342851561136,False,0,99425.59589830195,100000.0
2015-01-12,169.7426142329127,169.90039276888027,167.67490700581124,168.28109741210938,144396100,170.13158574437477,170.4620706959308,2.726098782000816,False,0,98646.75091415203,100000.0
2015-01-13,169.50178561367687,170.63113372951398,166.50403152706838,167.80776977539062,214553300,170.0404557063754,170.43565974149757,2.901224209556414,False,0,98369.28520826926,100000.0
2015-01-14,165.78990011381592,166.99399421006802,164.89307631509837,166.79469299316406,192991100,169.91317089409262,170.39943121663853,2.9027207929715075,False,0,97775.41736137451,100000.0
2015-01-15,167.4340130196778,167.7495572646579,165.150406787204,165.26666259765625,176613900,169.73095488246767,170.34835889207156,2.8723637614197486,False,0,96879.68256921439,100000.0
2015-01-16,165.0590999790476,167.59183000790256,164.87641042477372,167.43405151367188,211879600,169.6408802405541,170.3193608087044,2.8580961088478474,False,0,98150.21073797652,100000.0
2015-01-20,168.0735326599349,168.3392676553915,166.22173784251143,167.79119873046875,130991100,169.56834371074686,170.29420496712993,2.7963822508505323,False,0,98359.57122514262,100000.0
2015-01-21,167.32611551342015,169.11978808054434,166.86109210807777,168.63815307617188,122942700,169.53186564664588,170.2777268388617,2.7550217678979196,False,0,98856.05773290306,100000.0
2015-01-22,169.3938610482265,171.27886616224333,168.0153894461542,171.14601135253906,174356000,169.59516547824956,170.28636648576398,2.791339978483007,False,0,100326.16979255372,100000.0
2015-01-23,170.8885499035164,171.14598535977007,170.074758882308,170.20762634277344,117516800,169.61918355136814,170.28558300175413,2.7077082155606598,False,0,99776.08642761564,100000.0
2015-01-26,169.99172659879434,170.6975612260688,169.2775798358859,170.60621643066406,92009700,169.65789072310523,170.28877338413136,2.5671369394758017,False,0,100009.7408173342,100000.0
2015-01-27,168.5468392954275,169.50179734487202,167.52544750857834,168.35585021972656,134044600,169.60683031120803,170.2695403178189,2.5582379987706503,False,0,98690.57117505207,100000.0
2015-01-28,169.54331440404724,169.64295867138682,166.00580353315837,166.19679260253906,168514300,169.47310334224062,170.22901546493054,2.6460203726284095,False,0,97424.92683206082,100000.0
2015-01-29,166.39606834482106,167.9904397329673,164.98437386186288,167.73301696777344,173585400,169.40486466088896,170.2041796589887,2.6323751652894805,False,0,98325.4649473692,100000.0
2015-01-30,166.5538694200649,167.88250608803452,165.35808754923485,165.62380981445312,197729700,169.25658800024442,170.15860383964008,2.640085451318405,False,0,97089.04305638047,100000.0
2015-02-02,166.12201715381815,167.7662105014665,164.30343371173709,167.67486572265625,163107000,169.19455967563312,170.13389002753078,2.7284633817941466,False,0,98291.37655906747,100000.0
2015-02-03,168.57173262346143,170.10798254579447,168.19805397695674,170.09967041015625,124212900,169.23005421424187,170.13354953382557,2.607464426129334,False,0,99712.8024215189,100000.0
2015-02-04,169.33570946608478,170.54810292890306,168.99524133333466,169.45196533203125,134306700,169.23875661101795,170.12676760146942,2.5101907215062016,False,0,99333.1162744102,100000.0
2015-02-05,170.11634032952426,171.31212254502637,170.04160710879108,171.1626434326172,97953200,169.31420315304146,170.1370748236699,2.457405488330573,False,0,100335.91955462373,100000.0
2015-02-06,171.52795681437757,172.09263716397587,170.1660970747955,170.6892547607422,125672000,169.36812674550032,170.14256915140197,2.4010569530485406,False,0,100058.41806979758,100000.0
2015-02-09,170.04153356001996,170.76397972317702,169.51837589928564,169.92527770996094,87219000,169.38997580293014,170.14040704750704,2.3387765252636337,False,0,99610.57303555713,100000.0
2015-02-10,170.96328163466086,171.99297269079014,169.96678843449558,171.7355499267578,96164200,169.48195910190378,170.15627911595732,2.325133597289536,True,0,100671.75860662485,100000.0
2015-02-11,171.56945236286018,172.2669873865907,170.92173945926243,171.83517456054688,91087800,169.57424206106626,170.17298454326667,2.188117255235188,True,0,100730.15878695073,100000.0
2015-02-12,172.63241815951415,173.5458662051039,171.8684491899935,173.48773193359375,97545900,169.72771225214578,170.20596710436445,2.2337914819727565,True,0,101698.89156833425,100000.0
2015-02-13,173.61227976310488,174.2516806497601,173.35484431040433,174.2018585205078,93670400,169.90316896855214,170.24572721795792,2.196423978342245,True,0,102117.51415057213,100000.0
2015-02-17,173.886314898212,174.65029650885467,173.63720423271897,174.4759063720703,76968200,170.0824920039842,170.28781855282472,2.048732789345814,True,0,102278.16160633146,100000.0
2015-02-18,174.10224813581863,174.56727166056717,173.83651316685336,174.49253845214844,80652900,170.25543500195144,170.32965656177322,1.8411330290233394,True,0,102287.91136840147,100000.0
2015-02-19,173.89459706806414,174.73329906288663,173.75343015829822,174.367919921875,91462500,170.41670892037982,170.36983828674937,1.6964046742721959,True,1,102214.85971076303,100085.67143653976
2015-02-20,173.95274408655172,175.4889940619526,173.32994209721713,175.4142608642578,140896400,170.6126913495515,170.42003154622708,1.6703070618390399,True,1,102828.22708179781,100275.05914711105
2015-02-23,175.16516148461704,175.38937377929688,174.7831706370492,175.38937377929688,74411100,170.80001222914936,170.46947773760093,1.4680437359446958,True,1,102813.63821763617,100270.55458473312
2015-02-24,175.314563000839,176.08684387620565,175.01561760891255,175.88754272460938,72472300,170.99952322897133,170.52338883199903,1.3707658390986157,True,1,103105.66595347306,100360.72316383469
2015-02-25,175.7630397296052,176.2446748194243,175.3976605117466,175.73812866210938,73061700,171.18535089301596,170.5752767905076,1.3203481756778501,True,1,103018.079100088,100333.67921852219
2015-02-26,175.64678871208758,175.80456725788164,174.9243297219221,175.53053283691406,72697900,171.35575018493356,170.6245828208201,1.2503539130324515,True,1,102896.38596892954,100296.10437416183
2015-02-27,175.43085115185949,175.69658606960184,174.88279505815788,174.9326171875,108076000,171.49601947915184,170.66744883441893,1.1708718360512782,True,1,102545.88649488002,100187.88164161789
2015-03-02,175.03224046631885,176.09515466800778,174.98241834294856,176.0370330810547,87491400,171.67409844393234,170.72087753339045,1.164938525809593,True,1,103193.2975305373,100387.78091835129
2015-03-03,175.60520586032084,176.08684079839142,174.45094696990645,175.31455993652344,110325800,171.81686163972023,170.7665858160087,1.1340955863564335,True,1,102769.78217779269,100257.01327919113
2015-03-04,174.71669792407647,174.79144378625784,173.60396150687967,174.57553100585938,114497200,171.92504475211786,170.80448576814652,1.16019205080754,True,1,102336.56178665729,100123.24904274094
2015-03-05,174.89938004589757,175.04885909294708,174.25997920905664,174.7665252685547,76873000,172.03647536060558,170.84390904675755,1.0943483536170706,True,1,102448.52304521741,100157.81900428879
2015-03-06,173.9029041235481,174.33471700640686,171.9763767562986,172.30853271484375,188128000,172.04714427645806,170.85848241658925,1.2295849373956653,True,1,101007.64238230514,99755.21929883669
2015-03-09,172.50788989154913,173.37980273350237,172.3501113251944,173.02273559570312,89818900,172.0854027595657,170.8800172740929,1.2337404904330174,True,1,101426.30968822229,99755.21929883669
2015-03-10,171.65250201826444,171.735534663607,170.17437394830588,170.2158966064453,157121300,172.01208879277667,170.87340910824565,1.3849978585532625,False,1,99780.9344744431,99755.21929883669
2015-03-11,170.47331890006478,170.64770899541804,169.73426120249385,169.8173065185547,110145700,171.9260188996699,170.86290062476616,1.3802534934343893,False,1,99547.28008472454,99755.21929883669
2015-03-12,170.44844414056607,172.04281571519147,170.39862200869325,171.9763946533203,93993500,171.9279944194209,170.87398016733883,1.3850004385701962,True,1,100812.94231718747,99755.21929883669
2015-03-13,171.70239464301142,172.66565228431693,169.88381043982108,170.92181396484375,162410900,171.8885363623787,170.87445612552295,1.5386255540907143,True,1,100194.74478879689,99755.21929883669
2015-03-16,171.65254954847836,173.29674336439572,170.94670217746943,173.2053985595703,136099200,171.94017801717052,170.89764958257817,1.6317472063949197,True,1,101533.38712101152,99755.21929883669
2015-03-17,172.46635471903062,173.07254519815416,171.87676317236358,172.69056701660156,94510400,171.96960503675606,170.91548955704607,1.666148712075566,True,1,101231.5917336329,99755.21929883669
2015-03-18,172.21718337229515,175.4391493029343,171.57776986451694,174.7665252685547,228808500,172.0792881831011,170.95380832034468,1.8790874193939828,True,1,102448.52304521741,99755.21929883669
2015-03-19,174.35135115714198,174.7748519597055,173.57907008077407,173.9693603515625,117917300,172.15340866029567,170.98381381319263,1.906372481357374,True,1,101981.22321051612,99755.21929883669
2015-03-20,174.92105466521593,176.01373573536978,174.73754961385455,175.5049285888672,177715100,172.2848408143573,171.028800029866,1.9693609030216237,True,1,102881.3767021832,99755.21929883669
2015-03-23,175.51331884623505,176.0888564356137,175.16299438476562,175.16299438476562,71784500,172.3977095818243,171.06993629210382,1.9186443474761319,True,1,102680.93411665365,99755.21929883669
2015-03-24,175.03791917252053,175.49666930857748,174.11205693060893,174.1787872314453,77805300,172.4675557641624,171.10087013229628,1.8953596294993307,True,1,102103.98970997587,99755.21929883669
2015-03-25,174.38720902091552,174.62075856862816,171.5846017208683,171.6262969970703,159521700,172.43456522427644,171.10609826030398,2.05587941263286,True,1,100607.71429798134,99755.21929883669
2015-03-26,170.95903376533835,172.13511810938547,170.25837233766518,171.2176055908203,153067200,172.3868413170821,171.10720778598076,1.9906363597374468,True,1,100368.13849313401,99755.21929883669
2015-03-27,171.10084248293938,171.78480548145097,170.90898818271862,171.60964965820312,118939000,172.35636321281234,171.11220720759493,1.976675451171285,True,1,100597.95559117549,99755.21929883669
2015-03-30,172.6439854479199,174.00358804274632,172.6273124212665,173.70330810546875,96180400,172.4091845811518,171.13798930608124,1.94421664668171,True,1,101825.2627963391,99755.21929883669
2015-03-31,172.87752356662315,173.57818519187686,172.12683013724472,172.18521118164062,126768700,172.40040131058274,171.148409424246,1.9915759449174126,True,1,100935.35102721347,99755.21929883669
2015-04-01,172.15184675390566,172.17686901889715,170.5837169344394,171.57630920410156,137303600,172.36808397307368,171.1526671334983,1.9470034485291592,True,1,100578.41134335622,99755.21929883669
2015-04-02,171.50956667952272,172.64395594566557,171.32606159768352,172.19354248046875,86900900,172.3612392086578,171.1630241021249,1.8424357702067442,True,1,100940.23485298431,99755.21929883669
2015-04-06,171.30105148767876,173.87011008819428,171.16760365028182,173.35296630859375,114368200,172.40013046747882,171.184814571841,1.8658341300896362,True,1,101619.89166135945,99755.21929883669
2015-04-07,173.37801113931133,174.12870464143677,172.86086729240276,172.89422607421875,81236300,172.41950676578236,171.2018236415164,1.861491413077299,True,1,101350.97712294359,99755.21929883669
2015-04-08,173.11939695248358,173.92013479560092,172.7273645424683,173.47805786132812,89351900,172.46101857345081,171.22447273823096,1.6708764712712443,True,1,101693.22060580904,99755.21929883669
2015-04-09,173.3112544025416,174.4790025004388,172.8191328989635,174.24545288085938,85548900,172.53099638942763,171.2545322421377,1.704025594310094,True,1,102143.06926087855,99755.21929883669
2015-04-10,174.49568598921678,175.23804285485818,174.29550787645925,175.1963348388672,72722900,172.63551946587626,171.2937541585231,1.62889806503806,True,1,102700.47836447292,99755.21929883669
2015-04-13,175.05456560657154,175.68849700445406,174.35391664549235,174.40396118164062,74436600,172.70487012139643,171.32470149208646,1.6580922299033196,True,1,102235.98717682667,99755.21929883669
2015-04-14,174.20373463714623,174.92106915347472,173.57815265409803,174.73756408691406,75099900,172.78458361024025,171.3586603238758,1.6551139528610435,True,1,102431.54593658539,99755.21929883669
2015-04-15,175.2047145043945,176.03047481791884,175.12129845792657,175.52166748046875,99529300,172.89192023260216,171.4000832806578,1.5305963730928238,True,1,102891.18907740415,99755.21929883669
2015-04-16,175.188009231163,175.9804106743164,174.98781837844513,175.4716033935547,68934900,172.99308427812971,171.4405959185971,1.4674425533893225,True,1,102861.8413990998,99755.21929883669
2015-04-17,174.27888292692984,174.52076914006756,172.66904458603412,173.45310974121094,191113200,173.0111244923682,171.46062093175743,1.6050669468741947,True,1,101678.59596270403,99755.21929883669
2015-04-20,174.37896432882295,175.3715568654369,174.2955609989205,175.0379180908203,92189500,173.09060659426828,171.49621592836502,1.5711032854229643,True,1,102607.6141169399,99755.21929883669
2015-04-21,175.72183619577424,175.88031902757646,174.52906579221028,174.829345703125,72559800,173.15879244167442,171.52938139876065,1.5550158045045472,True,1,102485.34852268745,99755.21929883669
2015-04-22,175.17135047938353,175.8720122081468,174.24548832503785,175.68850708007812,78264600,173.2579969372981,171.57076573389816,1.5568036356408126,True,1,102988.99081912314,99755.21929883669
2015-04-23,175.28809551063674,176.78115855084636,175.17132069694716,176.13055419921875,102585900,173.37064624168713,171.61613676340383,1.5776567432063229,True,1,103248.11981652558,99755.21929883669
2015-04-24,176.5475643258666,176.8061361531829,176.08880169958107,176.53921508789062,61327400,173.49490384349903,171.66512261737884,1.4358587443269926,True,1,103487.67773190122,99755.21929883669
2015-04-27,177.10644540710808,177.23155672256055,175.61338249604708,175.80523681640625,79358100,173.58550513655422,171.70631778353834,1.4608828070040971,True,1,103057.41804833019,99755.21929883669
2015-04-28,175.78026156807934,176.41418028175357,174.60416397826708,176.3641357421875,86863500,173.69447104265748,171.7526642308881,1.5049718106008032,True,1,103385.04583282646,99755.21929883669
2015-04-29,175.47161091166774,176.23899012204748,174.82935576241024,175.63844299316406,125684900,173.770705236795,171.79132869618437,1.4960368376223698,True,1,102959.64314081876,99755.21929883669
2015-04-30,175.06291301451938,175.4549455135781,173.1778173226621,173.87847900390625,161304900,173.77493165903468,171.81209636093783,1.6008965302297387,True,1,101927.9483638289,99755.21929883669
