entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-03-06,173.89459706806414,172.54221750362592,181,-244.7807011633184,stop
2015-11-17,2015-12-03,173.55154998468225,172.60489988354246,182,-172.29031840744273,stop
2016-04-05,2016-05-06,174.36040544003367,174.14124604440477,223,-48.87254522524623,stop
2019-02-26,2019-03-08,251.03105918918752,246.44828789545173,155,-710.3295505290473,stop
2020-06-08,2020-06-11,295.1634168068766,284.22026140138115,66,-722.2482567627013,stop
2023-02-09,2023-02-24,398.3579098632502,380.1035302143566,53,-967.4821213913594,regime
2023-03-29,2023-08-04,385.9060563665928,432.4572325788828,45,2094.8029295530496,stop
2025-05-15,2025-08-01,580.5045239452851,621.4585271441837,39,1597.206124757045,stop
