Date,Open,High,Low,Close,Volume,vix,mom_return,sma200,trend_signal,realised_vol,vix_ok,regime,vol_scalar,equity_buyhold,equity_trade,ema_fast,ema_slow,atr,signal
2015-01-02,170.9117747198638,171.32584529520108,169.08985407923498,170.12503051757812,121465900,17.790000915527344,,,False,,True,False,0.5,100000.0,100000.0,,,,
2015-01-05,169.08149355750314,169.2471191784024,166.74614323904638,167.05255126953125,169632600,19.920000076293945,,,False,,True,False,0.5,98193.98754039934,100000.0,,,,
2015-01-06,167.3589659169749,167.88069864803924,164.68407475623997,165.47909545898438,209151400,21.1200008392334,,,False,,True,False,0.5,97269.10552523678,100000.0,,,,
2015-01-07,166.80413857607297,167.88072427345165,166.35694805006224,167.5411834716797,125346700,19.309999465942383,,,False,,True,False,0.5,98481.20700520229,100000.0,,,,
2015-01-08,168.94912597111542,170.72963759992766,168.93257224100503,170.51431274414062,147217800,17.010000228881836,,,False,,True,False,0.5,100228.82125303854,100000.0,,,,
2015-01-09,170.92832553753288,170.94489189846533,168.53499815824603,169.1478271484375,158567300,17.549999237060547,,,False,0.24383157550135467,True,False,0.4101191562019187,99425.59694704087,100000.0,,,,
2015-01-12,169.28030541730055,169.43765422966325,167.21822977118725,167.82276916503906,144396100,19.600000381469727,,,False,0.22246745447517638,True,False,0.44950395209901733,98646.72391503191,100000.0,,,,
2015-01-13,169.04012523018008,170.16639741804175,166.05053592069322,167.35072326660156,214553300,20.559999465942383,,,False,0.20311881849504138,True,False,0.49232267468334673,98369.25392898613,100000.0,,,,
2015-01-14,165.33836728251805,166.53918199916947,164.44398600526128,166.34042358398438,192991100,21.479999542236328,,,False,0.18923245288897114,True,False,0.5284505827268078,97775.39676432112,100000.0,,,,
2015-01-15,166.97808377546713,167.29276878135636,164.7006958904179,164.81663513183594,176613900,22.389999389648438,,,False,0.18023562445333635,True,False,0.5548292703138183,96879.70937045994,100000.0,,,,
