Date,Open,High,Low,Close,Volume,ema_fast,ema_slow,atr,signal,equity_buyhold,equity_strategy,equity_trade
2015-01-02,171.37846155544597,171.79366278013038,169.5515660300858,170.58956909179688,121465900,170.58956909179688,170.58956909179688,2.242096750044567,0,100000.0,,100000
2015-01-05,169.5432726016799,169.70935056327772,167.20154419999722,167.5087890625,169632600,170.4687541886872,170.55891456414219,2.8150608209221133,0,98194.03962053561,,100000
2015-01-06,167.81605021934024,168.33920788655956,165.13385349984176,165.93104553222656,209151400,170.29080482961032,170.51286611606344,2.9451586761873423,0,97269.16271353995,,100000
2015-01-07,167.25964539362377,168.33917101880652,166.81123368488295,167.9987030029297,125346700,170.20091848346598,170.48784956767406,2.8109003787854974,0,98481.22830565741,,100000
2015-01-08,169.41042852129658,171.19580169970416,169.3938295925036,170.97988891601562,147217800,170.23146634356598,170.49274548158792,2.888140042383293,0,100228.80638382332,,100000
2015-01-09,171.39511725892663,171.41172886127893,168.99525389209222,169.60975646972656,158567300,170.20708556419973,170.4839595212709,2.8095291968505287,0,99425.63157449382,,100000
2015-01-12,169.74258345029023,169.90036195764486,167.67487659816504,168.28106689453125,144396100,170.13155542029116,170.4620401916516,2.7260943629404273,0,98646.75067206282,,100000
2015-01-13,169.5018318521555,170.63118027606808,166.50407694778815,167.8078155517578,214553300,170.0404283666232,170.43562999622978,2.901220483607865,0,98369.32964023012,,100000
2015-01-14,165.78982427947525,166.99391782495988,164.89300089097594,166.79461669921875,192991100,169.91314163456812,170.39940100819982,2.9027309477383105,0,97775.39012919598,,100000
2015-01-15,167.43410577305877,167.74965019284087,165.15049827553617,165.26675415039062,176613900,169.7309303606788,170.3483298951868,2.8723730446949505,0,96879.7535689055,,100000
2015-01-16,165.05916014845678,167.59189110057423,164.87647052758666,167.43411254882812,211879600,169.64085907393957,170.31933270766083,2.8581046381760973,0,98150.26407548354,,100000
2015-01-20,168.07347152207782,168.33920642087156,166.22167737825694,167.7911376953125,130991100,169.56832098066008,170.29417653838374,2.796390005212641,0,98359.55304220358,,100000
