entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-03-06,173.8946427201711,172.54223694512098,181,-244.78544528407352,stop
2015-11-17,2015-12-03,173.5515346872762,172.60488795187325,182,-172.2897058433344,stop
2016-04-05,2016-05-06,174.36037485071697,174.1413540908316,223,-48.841629454433786,stop
2019-02-26,2019-03-08,251.0309829471398,246.4483164457209,155,-710.3133077199271,stop
2020-06-08,2020-06-11,295.16338657068064,284.2202121167308,66,-722.2495139606892,stop
2023-02-09,2023-02-24,398.3579719958979,380.10346932702123,53,-967.4886414504642,regime
2023-03-29,2023-08-04,385.9060259569887,432.4572633832906,45,2094.805684183585,stop
2025-05-15,2025-08-01,580.5045239452851,621.4584879407936,39,1597.2045958248316,stop
