Price,Open,High,Low,Close,Volume,ema_fast,ema_slow,signal,position,return,strategy_return,equity_buyhold,equity_strategy
Ticker,SPY,SPY,SPY,SPY,SPY,,,,,,,,
Date,,,,,,,,,,,,,
2015-01-02,171.37849221415277,171.79369351311453,169.5515963619706,170.589599609375,121465900,170.589599609375,170.589599609375,0,0.0,0.0,0.0,1.0,1.0
2015-01-05,169.54331893402545,169.70939694100863,167.20158989240133,167.5088348388672,169632600,170.4687853046492,170.55894523354905,0,0.0,-0.018059511116517712,-0.0,0.9819404888834823,1.0
2015-01-06,167.8160810836032,168.33923884704024,165.13388387080252,165.9310760498047,209151400,170.29083592210628,170.51289678395958,0,0.0,-0.009418958651226994,-0.0,0.9726916320207232,1.0
2015-01-07,167.25966058528658,168.33918630851923,166.81124883581793,167.99871826171875,125346700,170.20094895503226,170.48788008224574,0,0.0,0.012460849776526839,0.0,0.9848121963262181,1.0
2015-01-08,169.41042852129658,171.19580169970416,169.3938295925036,170.97988891601562,147217800,170.23149562016886,170.492775692532,0,0.0,0.017745198803556406,0.0,1.0022878845341938,1.0
2015-01-09,171.39510183951919,171.41171344037704,168.99523868858634,169.6097412109375,158567300,170.20711309431664,170.48398927977982,0,0.0,-0.00801350213621399,-0.0,0.9942560484303776,1.0
2015-01-12,169.74258345029023,169.90036195764486,167.67487659816504,168.28106689453125,144396100,170.13158187079566,170.46206965405597,0,0.0,-0.007833714661198754,-0.0,0.986467330246803,1.0
2015-01-13,169.5018318521555,170.63118027606808,166.50407694778815,167.8078155517578,214553300,170.040453779853,170.4356591654759,0,0.0,-0.002812267306755545,-0.0,0.9836931204247675,1.0
2015-01-14,165.7898546132115,166.99394837900314,164.8930310606249,166.79464721679688,192991100,169.91316724796846,170.39943019086218,0,0.0,-0.006037670722484512,-0.0,0.9777539052716695,1.0
2015-01-15,167.43412123195563,167.74966568087137,165.15051352359154,165.2667694091797,176613900,169.73095556801596,170.34835893930315,0,0.0,-0.009160232855861872,-0.0,0.9687974518236527,1.0
2015-01-16,165.05917519080907,167.59190637374212,164.87648555328985,167.4341278076172,211879600,169.64088389113758,170.31936161460976,0,0.0,0.013114302446799675,0.0,0.981502554616557,1.0
2015-01-20,168.07350209100636,168.33923703813153,166.2217076103842,167.79116821289062,130991100,169.56834602140242,170.29420546135884,0,0.0,0.002132423120354998,0.0,0.9835955333567088,1.0
2015-01-21,167.3261609336383,169.11983398765003,166.8611374020666,168.63819885253906,122942700,169.53186966183915,170.27772778365915,0,0.0,0.0050481240977697794,0.0,0.9885608456711055,1.0
2015-01-22,169.39384594565314,171.27885089160938,168.01537446648058,171.14599609375,174356000,169.59516873760037,170.2863672693317,0,0.0,0.014870873018537178,0.0,1.0032616084781782,1.0
2015-01-23,170.8885499035164,171.14598535977007,170.074758882308,170.20762634277344,117516800,169.61918668290127,170.28558377752515,0,0.0,-0.005482861255267424,-0.0,0.997760864276156,1.0
2015-01-26,169.9916961911345,170.6975306921512,169.27754955597067,170.60618591308594,92009700,169.65789253506537,170.28877384852575,0,0.0,0.002341608180998156,0.0,1.0000972292786248,1.0
2015-01-27,168.5468240193283,169.50178198222102,167.52543232505212,168.3558349609375,134044600,169.60683145372704,170.26954062576368,0,0.0,-0.01319032448972779,-0.0,0.986905622303162,1.0
2015-01-28,169.54328327197024,169.64292752101284,166.00577305065028,166.19676208496094,168514300,169.4731032431872,170.22901546615373,0,0.0,-0.012824461216194405,-0.0,0.974249089425891,1.0
2015-01-29,166.39612889348476,167.99050086179525,164.98443389683524,167.7330780029297,173585400,169.40486695925554,170.2041802675147,0,0.0,0.00924395817761714,0.0,0.9832550072631254,1.0
2015-01-30,166.55388476453962,167.88252155491546,165.35810278354316,165.6238250732422,197729700,169.25659080686287,170.15860459393986,0,0.0,-0.012575056481409441,-0.0,0.9708905200111629,1.0
2015-02-02,166.1220020363418,167.76619523436486,164.3034187597559,167.6748504638672,163107000,169.19456177380422,170.13389062249635,0,0.0,0.012383637376554901,0.0,0.982913676143316,1.0
2015-02-03,168.57174774518685,170.10799780532918,168.1980690651613,170.0996856689453,124212900,169.23005682851564,170.13355027469984,0,0.0,0.014461531937377092,0.0,0.9971281136625473,1.0
2015-02-04,169.3357399627257,170.5481336438909,168.99527176865874,169.45199584960938,134306700,169.23876031953893,170.1267686386293,0,0.0,-0.003807707326376253,-0.0,0.9933313416388186,1.0
2015-02-05,170.11634032952426,171.31212254502637,170.04160710879108,171.1626434326172,97953200,169.31420671613023,170.13707585050977,0,0.0,0.01009517518180214,0.0,1.003359195546237,1.0
2015-02-06,171.52797214814254,172.0926525482205,170.1661122868168,170.68927001953125,125672000,169.368130767244,170.1425703198533,0,0.0,-0.002765635091820151,-0.0,1.000584270145334,1.0
2015-02-09,170.04156409847695,170.76401039138108,169.5184063437866,169.92530822753906,87219000,169.38998086372615,170.14040850798946,0,0.0,-0.004475745850367585,-0.0,0.996105909250288,1.0
2015-02-10,170.96328163466086,171.99297269079014,169.96678843449558,171.7355499267578,96164200,169.4819639642372,170.15628056190755,0,0.0,0.010653161192414773,0.0,1.006717586066248,1.0
2015-02-11,171.56948283324658,172.2670179808579,170.92176981461634,171.835205078125,91087800,169.5742479294877,170.17298627848683,0,0.0,0.0005802825996696903,0.0,1.0073017667642237,1.0
2015-02-12,172.6324029759526,173.54585094120173,171.86843407362545,173.4877166748047,97545900,169.72771729204916,170.20596867049,0,0.0,0.009616839552339496,0.0,1.0169888262359834,1.0
2015-02-13,173.6122949702512,174.2516959129132,173.35485949500125,174.20187377929688,93670400,169.90317440919614,170.24572892032887,0,0.0,0.004116470711473141,0.0,1.0211752309530793,1.0
2015-02-17,173.88633010543833,174.65031178289502,173.63721941815933,174.47592163085938,76968200,170.08249782965353,170.28782039008541,0,0.0,0.0015731624787784781,0.0,1.0227817055106727,1.0
2015-02-18,174.10221768649967,174.56724112991867,173.83648276400965,174.4925079345703,80652900,170.25543940239538,170.32965807709522,0,0.0,9.506356840471852e-05,0.0,1.0228789347892977,1.0
2015-02-19,173.89461228543314,174.73331435364972,173.7534453633138,174.36793518066406,91462500,170.41671374664122,170.36983993882228,1,0.0,-0.0007139146280880082,-0.0,1.0221486865549885,1.0
2015-02-20,173.95274408655172,175.4889940619526,173.32994209721713,175.4142608642578,140896400,170.61269598654775,170.42003318186144,1,1.0,0.006000677145770128,0.006000677145770128,1.028282270817978,1.0060006771457701
2015-02-23,175.16514624533434,175.3893585205078,174.78315543099953,175.3893585205078,74411100,170.80001608591874,170.46947920513156,1,1.0,-0.00014196305150626642,-0.00014196305150626642,1.0281362927290028,1.005857862219825
2015-02-24,175.314563000839,176.08684387620565,175.01561760891255,175.88754272460938,72472300,170.99952693449484,170.52339028492736,1,1.0,0.0028404471531453535,0.0028404471531453535,1.0310566595347304,1.0087149483210363
2015-02-25,175.76307025150925,176.24470542496607,175.39769097020118,175.7381591796875,73061700,171.1853556499926,170.57527853263642,1,1.0,-0.0008493128200429689,-0.0008493128200429689,1.0301809698955968,1.0078582337836581
2015-02-26,175.64675817429733,175.80453669266015,174.9242993097379,175.53050231933594,72697900,171.3557535585943,170.62458424195682,1,1.0,-0.001181626468155006,-0.001181626468155006,1.0289636807945786,1.0066673218184714
2015-02-27,175.43086645410784,175.69660139502935,174.88281031260112,174.93263244628906,108076000,171.49602331889605,170.6674503932437,1,1.0,-0.003406073959494438,-0.003406073959494438,1.0254589543961585,1.0032385384677516
2015-03-02,175.03222529462465,176.09513940418077,174.9824031755729,176.03701782226562,87491400,171.67410153471448,170.7208789248758,1,1.0,0.006313203891879171,0.006313203891879171,1.0319328858580148,1.0095721879132893
2015-03-03,175.60522114440676,176.08685612439723,174.4509621535296,175.3145751953125,110325800,171.81686520767911,170.76658734547715,1,1.0,-0.004103924480716503,-0.004103924480716503,1.0276979112252858,1.0054289798962615
2015-03-04,174.71675900858756,174.79150489690159,173.60402220235545,174.57559204101562,114497200,171.92505057369232,170.80448788971137,1,1.0,-0.004215183783057408,-0.004215183783057408,1.023365975656007,1.0011909119651867
2015-03-05,174.89939531628613,175.0488743763866,174.2599944236194,174.76654052734375,76873000,172.03648155226688,170.84391129904105,1,1.0,0.0010937868466931455,0.0010937868466931455,1.0244853198995327,1.0022860014157229
2015-03-06,173.90296572346284,174.33477875927844,171.97643767379853,172.30859375,188128000,172.04715261884465,170.85848525377696,1,1.0,-0.01406417252368275,-0.01406417252368275,1.0100767816124854,0.98818967817374
2015-03-09,172.507859464779,173.3797721529451,172.3500809262531,173.022705078125,89818900,172.0854095780321,170.88001977939237,1,1.0,0.004144374419079222,0.004144374419079222,1.014262917987506,0.9922851061971614
2015-03-10,171.65253279340791,171.7355654536372,170.17440445843954,170.21592712402344,157121300,172.01209654062,170.87341189227428,1,1.0,-0.01622202099333847,-0.01622202099333847,0.997809523639148,0.976188236373054
2015-03-11,170.4733035823303,170.64769366201386,169.73424595116677,169.81729125976562,110145700,171.92602574529238,170.86290322926425,1,1.0,-0.0023419422083067465,-0.0023419422083067465,0.995472711399887,0.9739020599390393
2015-03-12,170.44844414056607,172.04281571519147,170.39862200869325,171.9763946533203,93993500,171.9280009965876,170.87398274592152,1,1.0,0.012714272954995831,0.012714272954995831,1.008129423171875,0.986284516560537
2015-03-13,171.70233332911448,172.66559062644646,169.88374977532968,170.9217529296875,162410900,171.8885402880817,170.87445807113312,1,1.0,-0.006132479551968828,-0.006132479551968828,1.0019470900985352,0.980236146930306
2015-03-16,171.65253442648986,173.29672809755948,170.9466871176636,173.20538330078125,136099200,171.94018119054053,170.89765135700029,1,1.0,0.013360677221893269,0.013360677221893269,1.015333781762757,0.9933327656906742
2015-03-17,172.46633948005277,173.07252990561386,171.87674798548153,172.6905517578125,94510400,171.9696074872963,170.9154911619835,1,1.0,-0.0029723761072408816,-0.0029723761072408816,1.0123158278889708,0.9903802071113957
2015-03-18,172.21719840850227,175.43916462044987,171.57778484489717,174.76654052734375,228808500,172.07929113592562,170.95381006114133,1,1.0,0.012021438048577693,0.012021438048577693,1.0244853198995327,1.0022860014157229
2015-03-19,174.35135115714198,174.7748519597055,173.57907008077407,173.9693603515625,117917300,172.15341149732313,170.98381553666792,1,1.0,-0.0045614004452787515,-0.0045614004452787515,1.0198122321051615,0.9977141736025685
2015-03-20,174.92105466521593,176.01373573536978,174.73754961385455,175.5049285888672,177715100,172.28484354012878,171.0288017361923,1,1.0,0.008826659097909806,0.008826659097909806,1.0288137670218322,1.0065206564901112
