entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-08-21,173.8946427201711,168.3712853577345,181,-999.7276826010244,stop
2015-11-17,2016-01-06,173.5515346872762,168.07753386722817,180,-985.3201476086434,stop
2016-04-05,2018-12-17,174.36035955605857,231.93281144990937,220,12665.939416647176,signal_exit
2019-02-26,2020-03-12,251.0309829471398,244.64449048469697,173,-1104.8631960026073,stop
2020-06-08,2020-06-11,295.16332609828874,280.20923008628773,73,-1091.6490088760731,stop
2023-02-09,2023-02-24,398.35800306222177,379.95731588921393,58,-1067.2398560344545,stop
2023-03-29,2025-04-16,385.9060563665928,527.0896882471153,50,7059.181594026126,signal_exit
2025-05-15,2026-02-06,580.5045239452851,690.6199951171875,45,4955.1962027356085,last_close
