entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-05-22,2015-05-26,170.83451763072776,176.68227916434677,419,2450.212082586364,trend
2015-06-26,2015-06-29,175.72567711684493,173.9056696624012,519,-944.5838688562936,trend
2015-07-02,2015-07-06,173.6381420409531,171.99981247989805,486,-796.2281666727587,trend
2015-07-07,2015-07-08,172.99453457998248,172.54309159230553,496,-223.9157218877699,trend
2015-07-23,2015-07-24,174.69139531345752,175.78635043164496,423,463.16601499328823,trend
2015-07-31,2015-08-03,175.10094767161476,175.92013033856227,472,386.65421879922565,trend
2015-08-06,2015-08-07,175.28488654775904,173.9975626820927,488,-628.2140464451727,trend
2015-08-10,2015-08-11,174.9337572199016,174.67467215788415,575,-148.97391066003252,trend
2015-10-23,2015-10-26,174.13754777333517,174.17956162497833,340,14.284709558675104,trend
2015-11-11,2015-11-12,175.03665588413068,173.5074093102452,486,-743.2138349083399,trend
2015-12-10,2015-12-11,173.1209141875527,170.86070317712242,398,-899.5639821512524,trend
2015-12-16,2015-12-17,173.39816935138043,175.1038630409515,357,608.9326471768696,trend
2015-12-30,2015-12-31,173.01018060737667,173.38204524222868,315,117.13735997838526,trend
2016-03-17,2016-03-18,170.19553839216928,173.4606796292937,391,1276.67022371565,trend
2016-03-24,2016-03-28,173.37572164821052,172.98493726222043,436,-170.38199229167833,trend
2016-03-30,2016-03-31,172.26276003646242,174.93897488037737,501,1340.783636801389,trend
2016-06-24,2016-06-27,173.61366503542266,172.15944351898287,588,-855.082251666595,trend
2016-10-10,2016-10-11,174.93489683982207,185.10565612623503,307,3122.4231009287787,trend
2018-02-02,2018-02-05,186.2901380354216,240.68135019801932,530,28827.342446176794,vix_spike
2018-02-07,2018-02-08,236.32456586247582,235.89326729174834,273,-117.7445098086014,vix_spike
2018-03-21,2018-03-22,232.2142448395568,236.74966416722836,225,1020.4693487260982,trend
2018-05-07,2018-05-08,235.84830724288375,235.50365480335702,450,-155.09359778702674,trend
2018-05-17,2018-05-18,236.54643034279098,240.02815905948526,488,1699.0836137468075,trend
2018-05-23,2018-05-24,241.25643869377768,241.1680971017814,523,-46.20265261405595,trend
2018-10-10,2018-10-11,239.03842474054292,247.06596305815177,536,4302.760538238341,trend
2018-10-17,2018-10-18,246.63798849814555,249.13458029309578,321,801.4059661790252,trend
2019-02-06,2019-02-07,242.25741499744487,243.00184405429718,502,373.7033865398604,trend
2019-03-06,2019-03-07,245.54899161156067,248.28453071144233,476,1302.1166115436718,trend
2019-05-30,2019-05-31,244.79563530822645,248.81060617412786,581,2332.698073088716,trend
2019-08-02,2019-08-05,249.63933171869033,260.78381301761164,340,3789.123641633244,trend
2019-08-14,2019-08-15,258.8104261086006,257.8781316559534,392,-365.459425437713,trend
2019-09-30,2019-10-01,259.3263521875103,270.7638253755385,269,3076.6802875795875,trend
2019-10-21,2019-10-22,270.1817208062417,273.34643282027804,399,1262.7200936005052,trend
2019-10-23,2019-10-24,271.664068797207,273.64650791287386,404,800.905402729413,trend
2020-02-26,2020-02-27,272.58252524376513,279.1499964992916,409,2686.0957435103264,trend+vix
2020-05-29,2020-06-01,278.03378746198035,279.1001076480142,250,266.5800465084658,trend+vix
2020-06-10,2020-06-11,281.7934214913829,286.3069990386874,281,1268.3152907925705,vix_spike
2020-07-06,2020-07-07,290.1335885242947,291.1861571430053,181,190.5149199866202,vix_spike
2020-07-10,2020-07-13,290.1981838415168,295.57175522796825,279,1499.2264168199492,vix_spike
2020-07-15,2020-07-16,297.6768588380392,295.25786563140133,281,-679.7370910652439,vix_spike
2020-09-02,2020-09-03,297.1875241733961,328.5700392045548,281,8818.486723755588,vix_spike
