entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-02-19,2015-03-06,173.89459706806414,172.54227954817256,181,-244.7694711003769,stop
2015-11-17,2015-12-03,173.55158057949438,172.60493051014635,182,-172.290312621343,stop
2016-04-05,2016-05-06,174.36040544003367,174.1412906449709,223,-48.86259929899981,stop
2019-02-26,2019-03-08,251.03110493441616,246.4483367416292,155,-710.3290698819807,stop
2020-06-08,2020-06-11,295.16344704307255,284.22025364281353,66,-722.2507644170953,stop
2023-02-09,2023-02-24,398.3579719958979,380.1036215453597,53,-967.4805738785244,regime
2023-03-29,2023-08-04,385.9060563665928,432.45725699221936,45,2094.8040281531953,stop
2025-05-15,2025-08-01,580.5045239452851,621.4584879407936,39,1597.2045958248316,stop
