entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-07-07,2015-07-08,172.99453457998248,172.54315319146906,493,-222.53102453711875,trend
2015-07-24,2015-07-27,173.2703487371135,172.97779195349062,435,-127.26220087594882,trend
2015-08-19,2015-08-20,173.68833267941108,172.6183787412695,477,-510.36802849352705,trend
2015-10-29,2015-10-30,173.92751866965267,175.65837148776131,446,771.9603568764554,trend
2015-11-10,2015-11-11,175.03667099279104,175.50713169043908,483,227.23251696400155,trend
2015-11-20,2015-11-23,175.98608560962322,175.92724764453766,443,-26.065218532902463,trend
2015-11-27,2015-11-30,176.02806619859052,176.238144917622,469,98.52691922576699,trend
2015-12-02,2015-12-03,175.97767012472167,175.46510695149848,480,-246.0303231471289,trend
2015-12-07,2015-12-08,172.75957555460377,173.49898441928113,383,283.1935951714282,trend
2015-12-30,2015-12-31,173.15382558359133,173.38202988913335,316,72.11256055127888,trend
2016-04-28,2016-04-29,170.11100010344728,175.62711570312726,357,1969.253269085752,trend
2016-05-03,2016-05-04,175.79703074233328,174.15736446689803,553,-906.7354503156912,trend
2016-05-12,2016-05-13,175.62713766324902,175.19382901520686,577,-250.01908992032463,trend
2016-05-19,2016-05-20,174.1318243217595,174.0978810763577,580,-19.6870823330363,trend
2016-06-23,2016-06-24,175.15988727621598,173.90157441072643,495,-622.864868417331,trend+vix
2018-02-02,2018-02-05,172.06548362968255,240.681334388842,329,22574.614899763463,vix_spike
2018-07-20,2018-07-23,232.33736425528434,248.05631691118387,207,3253.8231997712023,trend
2018-07-26,2018-07-27,250.13347782261658,251.8376813933993,505,860.6228032452684,trend
2018-10-10,2018-10-11,249.26353995320895,247.06596305815177,510,-1120.7642164791628,trend
2018-10-22,2018-10-23,246.78955019049047,241.59993397454068,327,-1697.0045026155838,trend
2018-11-09,2018-11-12,243.71333527411497,247.16400847527626,209,721.1906990427104,trend
2018-11-28,2018-11-29,240.39619560185264,244.06097228083433,267,978.4953732881127,trend
2018-12-03,2018-12-04,244.15019508905894,248.21618372563074,272,1105.9489091475302,trend
2019-05-30,2019-05-31,259.5305822634568,248.81065210515442,467,-5006.2073839272025,trend
2020-02-21,2020-02-24,249.63931664538063,295.3072473908234,287,13106.69612394208,vix_spike
2020-06-05,2020-06-08,291.61095127500704,294.3594665924078,222,610.1704004629654,vix_spike
2020-07-27,2020-07-28,296.95666037009426,297.6952737904054,335,247.43549580423178,trend+vix
2020-07-29,2020-07-30,297.40903461982157,297.2059420708996,341,-69.25455918239265,trend
2020-08-28,2020-08-31,300.89906346264803,323.4735012045628,333,7517.287768057621,vix_spike
2020-11-06,2020-11-09,324.3790079432216,337.3938380999121,200,2602.9660313380987,vix_spike
2020-11-11,2020-11-12,327.6790464420353,329.6164079973696,205,397.15911884352977,vix_spike
2020-12-18,2020-12-21,329.3290771800801,339.7629543638441,198,2065.9076823852656,vix_spike
2020-12-31,2021-01-04,342.7791972943252,349.38880113928235,420,2776.0336148820147,vix_spike
2021-01-26,2021-01-27,350.1242211986964,353.95971902424606,391,1499.679649789925,vix_spike
2021-02-24,2021-02-25,356.02635940269215,363.4459121163381,251,1862.3077311251313,vix_spike
2021-03-02,2021-03-03,358.9588307931296,359.14505098556646,267,49.72079138063873,vix_spike
2021-03-05,2021-03-08,354.1831430171617,358.09302696069,254,993.1105216561917,vix_spike
2021-05-11,2021-05-12,359.2008783576128,384.0818760668067,244,6070.963441043306,vix_spike
2021-09-17,2021-09-20,380.1964417898234,408.8048283528595,313,8954.424994230301,vix_spike
2021-11-24,2021-11-26,410.3558724154265,434.61837171536075,416,10093.199708772641,vix_spike
2021-11-29,2021-11-30,436.2446690099577,434.29876746658414,375,-729.7130787650872,vix_spike
2022-01-19,2022-01-20,436.56416615737265,428.04193941787696,240,-2045.3344174789663,vix_spike
2022-02-10,2022-02-11,416.2407572007058,423.947877125735,229,1764.9304628316845,trend+vix
2022-02-16,2022-02-17,418.77828888356663,418.10854352626,195,-130.6003446747917,trend+vix
2022-04-08,2022-04-11,414.467909206015,420.2496507622423,169,977.1143230024142,trend
2022-11-30,2022-12-01,377.4023257136843,390.07504041496463,167,2116.3433551138123,trend
2022-12-13,2022-12-14,391.4586555975836,383.2424323385713,254,-2086.9207077891197,trend
2023-01-17,2023-01-18,376.0102256287862,382.50979578083036,248,1611.893397706951,trend
2023-01-27,2023-01-30,373.96829741871426,386.14313857209555,267,3250.6825879528055,trend
2023-02-03,2023-02-06,388.45348175657574,392.844029913755,288,1264.477869267621,trend
2023-02-08,2023-02-09,391.96206429093394,397.2730427680662,297,1577.3606077082832,trend
2023-03-08,2023-03-09,376.4416013971857,383.2096475110798,335,2267.2954481545285,trend
